FSA_STATE,PASTURE_TYPE,GROWING_SEASON_START,GROWING_SEASON_END,PROGRAM_YEAR
01-AL,ANNUAL RYEGRASS,12-03,05-03,"2017, 2018"
01-AL,FORAGE SORGHUM,05-03,11-02,"2019, 2022"
01-AL,FULL SEASON IMPROVE MIXED,12-03,10-17,"2018, 2019, 2020, 2022"
01-AL,FULL SEASON IMPROVED,04-03,11-17,"2019, 2020, 2022"
01-AL,FULL SEASON IMPROVED,12-03,10-17,2017
01-AL,LONG SEASON SMALL GRAINS,11-17,05-03,"2017, 2018"
01-AL,LONG SEASON SMALL GRAINS,12-03,05-03,"2017, 2018"
02-AK,FULL SEASON IMPROVED,05-03,10-02,2019
02-AK,FULL SEASON IMPROVED,05-03,10-17,2019
02-AK,FULL SEASON IMPROVED,05-03,11-02,2019
04-AZ,NATIVE PASTURE,01-03,01-02,"2017, 2018, 2019, 2020, 2021, 2022"
05-AR,ANNUAL RYEGRASS,07-03,10-31,"2012, 2013"
05-AR,ANNUAL RYEGRASS,11-03,04-02,"2017, 2018, 2022"
05-AR,COOL SEASON IMPROVED,11-03,04-02,2017
05-AR,FORAGE SORGHUM,04-03,11-02,"2018, 2020, 2022"
05-AR,FULL SEASON IMPROVED,01-17,11-17,"2018, 2020, 2022"
05-AR,LONG SEASON SMALL GRAINS,11-03,04-02,"2017, 2018, 2022"
05-AR,NATIVE PASTURE,03-17,11-17,"2018, 2020, 2022"
05-AR,SHORT SEASON SMALL GRAINS,11-03,03-17,"2017, 2018, 2022"
06-CA,FULL SEASON IMPROVED,01-03,01-02,2017
06-CA,FULL SEASON IMPROVED,10-03,10-02,"2018, 2019, 2020, 2021, 2022"
06-CA,LONG SEASON SMALL GRAINS,04-03,07-01,"2017, 2018, 2020, 2021, 2022"
06-CA,NATIVE PASTURE,10-03,10-02,"2017, 2018, 2019, 2020, 2021, 2022"
08-CO,FORAGE SORGHUM,07-17,09-17,"2018, 2020"
08-CO,FORAGE SORGHUM,07-17,10-02,"2018, 2020, 2021, 2022"
08-CO,FORAGE SORGHUM,07-17,10-17,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,04-03,10-17,2020
08-CO,FULL SEASON IMPROVED,04-03,11-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,04-17,10-17,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,04-17,11-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-03,10-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-03,10-17,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-03,11-02,"2020, 2022"
08-CO,FULL SEASON IMPROVED,05-17,10-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-17,10-17,"2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-17,11-02,"2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,06-03,09-17,2018
08-CO,LONG SEASON SMALL GRAINS,11-03,03-17,"2017, 2018"
08-CO,LONG SEASON SMALL GRAINS,11-03,05-03,"2019, 2020, 2021, 2022"
08-CO,NATIVE PASTURE,01-03,01-02,"2020, 2021"
08-CO,NATIVE PASTURE,04-03,01-02,2022
08-CO,NATIVE PASTURE,04-03,11-02,2018
08-CO,NATIVE PASTURE,04-17,01-02,2022
08-CO,NATIVE PASTURE,04-17,10-17,2018
08-CO,NATIVE PASTURE,04-17,11-02,2018
08-CO,NATIVE PASTURE,05-03,01-02,2022
08-CO,NATIVE PASTURE,05-03,10-02,2018
08-CO,NATIVE PASTURE,05-03,10-17,2018
08-CO,NATIVE PASTURE,05-17,01-02,2022
08-CO,NATIVE PASTURE,05-17,10-02,2018
08-CO,NATIVE PASTURE,05-18,10-03,"2018, 2020, 2021, 2022"
08-CO,NATIVE PASTURE,06-03,09-17,2018
08-CO,SHORT SEASON SMALL GRAINS,11-03,03-03,"2019, 2020, 2021, 2022"
09-CT,FULL SEASON IMPROVED,05-03,11-02,"2020, 2022"
09-CT,FULL SEASON IMPROVED,05-03,11-17,"2020, 2022"
09-CT,FULL SEASON IMPROVED,05-04,10-31,2016
09-CT,NATIVE PASTURE,05-03,11-02,"2020, 2022"
09-CT,NATIVE PASTURE,05-03,11-17,"2020, 2022"
09-CT,NATIVE PASTURE,05-04,10-31,2016
12-FL,ANNUAL CRABGRASS,03-03,11-02,2017
12-FL,ANNUAL CRABGRASS,03-17,10-17,2017
12-FL,ANNUAL CRABGRASS,04-03,10-03,2017
12-FL,ANNUAL CRABGRASS,04-03,10-17,2019
12-FL,ANNUAL RYEGRASS,12-03,05-02,"2017, 2020"
12-FL,FORAGE SORGHUM,06-03,10-02,"2017, 2019"
12-FL,FULL SEASON IMPROVE MIXED,12-03,10-17,"2019, 2020"
12-FL,FULL SEASON IMPROVED,12-03,10-03,2017
12-FL,FULL SEASON IMPROVED,12-03,10-17,"2017, 2019, 2020"
12-FL,FULL SEASON IMPROVED,12-03,11-02,2017
12-FL,LONG SEASON SMALL GRAINS,12-03,03-17,2017
12-FL,NATIVE PASTURE,03-03,11-02,2017
12-FL,NATIVE PASTURE,03-17,10-17,2017
12-FL,NATIVE PASTURE,04-03,10-03,2017
12-FL,NATIVE PASTURE,04-03,10-17,2019
13-GA,ANNUAL RYEGRASS,02-03,06-01,2017
13-GA,ANNUAL RYEGRASS,02-03,06-02,2018
13-GA,FULL SEASON IMPROVE MIXED,03-03,12-02,"2018, 2019, 2022"
13-GA,FULL SEASON IMPROVE MIXED,04-03,11-17,2019
13-GA,FULL SEASON IMPROVE MIXED,04-03,12-02,2019
13-GA,FULL SEASON IMPROVED,03-17,11-03,"2018, 2019, 2022"
13-GA,FULL SEASON IMPROVED,03-17,12-03,2017
13-GA,FULL SEASON IMPROVED,04-03,11-17,2019
13-GA,LONG SEASON SMALL GRAINS,12-17,04-02,2017
13-GA,NATIVE PASTURE,03-17,11-03,"2018, 2019, 2022"
13-GA,NATIVE PASTURE,03-17,12-03,2017
13-GA,NATIVE PASTURE,04-03,11-17,2019
15-HI,FULL SEASON IMPROVED,01-03,01-02,"2017, 2019, 2020, 2021, 2022"
15-HI,NATIVE PASTURE,01-03,01-02,"2017, 2019, 2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,01-03,01-02,"2019, 2021, 2022"
16-ID,FULL SEASON IMPROVED,03-17,12-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-03,01-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-03,11-02,"2018, 2021"
16-ID,FULL SEASON IMPROVED,04-03,12-02,2021
16-ID,FULL SEASON IMPROVED,04-17,10-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-17,11-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-17,11-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-17,12-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-22,12-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,01-02,"2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,10-02,"2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,10-17,"2020, 2021"
16-ID,FULL SEASON IMPROVED,05-03,11-02,"2017, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,11-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-10,11-10,2015
16-ID,FULL SEASON IMPROVED,05-12,11-12,2021
16-ID,FULL SEASON IMPROVED,05-17,01-02,"2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-17,10-12,2017
16-ID,FULL SEASON IMPROVED,05-17,10-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-17,11-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-20,10-15,2015
16-ID,IMPROVED PASTURE,05-10,11-10,"2013, 2014"
16-ID,IMPROVED PASTURE,05-20,10-15,2013
16-ID,LONG SEASON SMALL GRAINS,05-03,08-02,2021
16-ID,LONG SEASON SMALL GRAINS,05-17,11-17,"2021, 2022"
16-ID,LONG SEASON SMALL GRAINS,06-17,10-03,2021
16-ID,NATIVE PASTURE,01-03,01-02,"2019, 2021, 2022"
16-ID,NATIVE PASTURE,03-17,12-17,"2021, 2022"
16-ID,NATIVE PASTURE,04-03,01-02,"2021, 2022"
16-ID,NATIVE PASTURE,04-03,11-02,"2018, 2021"
16-ID,NATIVE PASTURE,04-03,12-02,2021
16-ID,NATIVE PASTURE,04-17,01-02,"2020, 2021, 2022"
16-ID,NATIVE PASTURE,04-17,10-17,"2021, 2022"
16-ID,NATIVE PASTURE,04-17,11-02,"2021, 2022"
16-ID,NATIVE PASTURE,04-17,11-17,"2021, 2022"
16-ID,NATIVE PASTURE,04-17,12-02,"2021, 2022"
16-ID,NATIVE PASTURE,04-22,12-02,"2021, 2022"
16-ID,NATIVE PASTURE,05-03,01-02,"2020, 2021, 2022"
16-ID,NATIVE PASTURE,05-03,10-02,"2020, 2021, 2022"
16-ID,NATIVE PASTURE,05-03,10-17,"2020, 2021"
16-ID,NATIVE PASTURE,05-03,11-02,"2017, 2021"
16-ID,NATIVE PASTURE,05-03,11-17,"2021, 2022"
16-ID,NATIVE PASTURE,05-10,11-10,"2013, 2014, 2015"
16-ID,NATIVE PASTURE,05-12,11-12,2021
16-ID,NATIVE PASTURE,05-17,10-17,"2021, 2022"
16-ID,NATIVE PASTURE,05-17,11-02,"2021, 2022"
16-ID,NATIVE PASTURE,05-17,11-17,"2021, 2022"
16-ID,NATIVE PASTURE,05-20,10-01,2015
16-ID,NATIVE PASTURE,05-20,10-15,"2013, 2015"
17-IL,FORAGE SORGHUM,07-02,09-26,2021
17-IL,FORAGE SORGHUM,07-02,10-03,2022
17-IL,FULL SEASON IMPROVED,04-03,11-02,2022
17-IL,FULL SEASON IMPROVED,04-17,10-17,2022
17-IL,FULL SEASON IMPROVED,05-03,10-03,2021
17-IL,IMPROVED PASTURE,04-20,10-10,2012
17-IL,NATIVE PASTURE,04-03,11-02,2022
17-IL,NATIVE PASTURE,04-17,10-17,2022
17-IL,NATIVE PASTURE,04-20,10-10,2012
17-IL,NATIVE PASTURE,05-03,10-03,2021
18-IN,FORAGE SORGHUM,06-20,10-15,2012
18-IN,IMPROVED PASTURE,03-14,10-15,2012
18-IN,IMPROVED PASTURE,04-13,10-15,2012
18-IN,IMPROVED PASTURE,04-23,10-15,2012
18-IN,NATIVE PASTURE,03-14,10-15,2012
18-IN,NATIVE PASTURE,04-13,10-15,2012
18-IN,NATIVE PASTURE,04-23,10-15,2012
19-IA,ANNUAL RYEGRASS,07-03,10-02,"2017, 2020"
19-IA,ANNUAL RYEGRASS,07-17,10-02,"2018, 2020, 2021, 2022"
19-IA,FORAGE SORGHUM,07-03,10-02,"2017, 2018, 2020, 2021, 2022"
19-IA,FULL SEASON IMPROVED,04-17,10-17,"2018, 2020, 2021, 2022"
19-IA,FULL SEASON IMPROVED,05-03,11-02,"2017, 2020"
19-IA,LONG SEASON SMALL GRAINS,04-03,06-02,"2021, 2022"
19-IA,NATIVE PASTURE,04-17,10-17,"2018, 2020, 2021, 2022"
19-IA,NATIVE PASTURE,05-03,11-02,"2017, 2020"
19-IA,SHORT SEASON SMALL GRAINS,04-17,06-17,"2021, 2022"
20-KS,ANNUAL CRABGRASS,04-03,10-02,2022
20-KS,ANNUAL CRABGRASS,04-03,11-17,2022
20-KS,ANNUAL CRABGRASS,04-18,10-17,"2020, 2021, 2022"
20-KS,ANNUAL CRABGRASS,05-02,10-31,"2012, 2013, 2014"
20-KS,ANNUAL CRABGRASS,05-03,11-01,"2018, 2020, 2021"
20-KS,ANNUAL RYEGRASS,04-03,10-02,"2018, 2022"
20-KS,ANNUAL RYEGRASS,04-03,11-17,2022
20-KS,ANNUAL RYEGRASS,04-18,10-17,2022
20-KS,ANNUAL RYEGRASS,05-03,11-01,"2018, 2020, 2021"
20-KS,FORAGE SORGHUM,08-03,10-02,"2018, 2020, 2021, 2022"
20-KS,FULL SEASON IMPROVED,04-03,10-02,"2018, 2022"
20-KS,FULL SEASON IMPROVED,04-03,11-17,2022
20-KS,FULL SEASON IMPROVED,04-18,10-17,"2020, 2021, 2022"
20-KS,FULL SEASON IMPROVED,05-03,11-01,"2018, 2020, 2021"
20-KS,LONG SEASON SMALL GRAINS,11-17,05-03,"2017, 2018, 2020, 2021, 2022"
20-KS,NATIVE PASTURE,04-18,10-17,"2018, 2020, 2021, 2022"
20-KS,SHORT SEASON SMALL GRAINS,11-17,03-17,"2017, 2018, 2020, 2021, 2022"
20-KS,SHORT SEASON SMALL GRAINS,11-17,12-22,"2020, 2021"
20-KS,SHRT SEASON SMALL GRAIN 1,02-17,03-17,2018
20-KS,SHRT SSN FALL_WTR SML GRN,02-17,05-03,"2020, 2021, 2022"
21-KY,FORAGE SORGHUM,06-03,10-03,"2019, 2022"
21-KY,FULL SEASON IMPROVED,03-17,11-17,"2019, 2022"
21-KY,FULL SEASON IMPROVED,03-17,12-02,2022
21-KY,FULL SEASON IMPROVED,04-03,11-02,2019
21-KY,FULL SEASON IMPROVED,04-03,11-17,2019
21-KY,FULL SEASON IMPROVED,04-07,11-15,2016
21-KY,IMPROVED PASTURE,04-07,11-15,2012
21-KY,NATIVE PASTURE,03-17,11-17,"2019, 2022"
21-KY,NATIVE PASTURE,03-17,12-02,2022
21-KY,NATIVE PASTURE,04-03,11-02,2019
21-KY,NATIVE PASTURE,04-03,11-17,"2019, 2022"
22-LA,ANNUAL RYEGRASS,12-03,04-02,2018
22-LA,ANNUAL RYEGRASS,12-03,05-03,2022
22-LA,COOL SEASON IMPROVED,12-03,04-02,2018
22-LA,FULL SEASON IMPROVE MIXED,01-17,12-02,2022
22-LA,FULL SEASON IMPROVED,02-17,12-02,2022
22-LA,LONG SEASON SMALL GRAINS,12-03,05-03,2022
22-LA,LONG SEASON SMALL GRAINS,12-17,05-02,2018
22-LA,NATIVE PASTURE,02-17,12-02,2022
22-LA,NATIVE PASTURE,04-03,12-02,2018
22-LA,WARM SEASON IMPROVED,04-03,12-02,2018
23-ME,FORAGE SORGHUM,05-03,10-17,"2020, 2021, 2022"
23-ME,FULL SEASON IMPROVED,05-03,10-17,"2020, 2021, 2022"
23-ME,NATIVE PASTURE,05-03,10-17,"2020, 2021, 2022"
24-MD,FORAGE SORGHUM,06-20,10-14,2012
24-MD,IMPROVED PASTURE,04-12,10-14,2012
24-MD,NATIVE PASTURE,04-04,10-20,2012
25-MA,FORAGE SORGHUM,04-03,11-02,"2020, 2022"
25-MA,FORAGE SORGHUM,04-03,11-17,"2020, 2022"
25-MA,FORAGE SORGHUM,04-03,12-02,2020
25-MA,FORAGE SORGHUM,04-17,10-17,"2020, 2022"
25-MA,FORAGE SORGHUM,04-17,11-02,"2020, 2022"
25-MA,FULL SEASON IMPROVED,03-03,09-30,2016
25-MA,FULL SEASON IMPROVED,03-05,10-02,2017
25-MA,FULL SEASON IMPROVED,04-03,11-02,"2020, 2022"
25-MA,FULL SEASON IMPROVED,04-03,11-17,"2020, 2022"
25-MA,FULL SEASON IMPROVED,04-03,12-02,2020
25-MA,FULL SEASON IMPROVED,04-17,10-17,"2020, 2022"
25-MA,FULL SEASON IMPROVED,04-17,11-02,"2020, 2022"
25-MA,NATIVE PASTURE,03-03,09-30,2016
25-MA,NATIVE PASTURE,03-05,10-02,2017
25-MA,NATIVE PASTURE,04-03,11-02,"2020, 2022"
25-MA,NATIVE PASTURE,04-03,11-17,"2020, 2022"
25-MA,NATIVE PASTURE,04-03,12-02,2020
25-MA,NATIVE PASTURE,04-17,10-17,"2020, 2022"
25-MA,NATIVE PASTURE,04-17,11-02,"2020, 2022"
26-MI,FORAGE SORGHUM,04-17,10-17,2021
26-MI,FORAGE SORGHUM,04-20,10-31,2012
26-MI,FULL SEASON IMPROVED,04-17,10-17,2021
26-MI,IMPROVED PASTURE,04-20,10-31,2012
26-MI,NATIVE PASTURE,04-17,10-17,2021
26-MI,NATIVE PASTURE,04-20,10-31,2012
27-MN,ANNUAL RYEGRASS,05-03,12-02,2022
27-MN,FORAGE SORGHUM,07-03,12-02,2022
27-MN,FORAGE SORGHUM,07-26,10-15,2012
27-MN,FORAGE SORGHUM,07-27,10-10,2012
27-MN,FORAGE SORGHUM,07-27,10-16,2012
27-MN,FORAGE SORGHUM,07-28,10-17,"2012, 2021"
27-MN,FORAGE SORGHUM,07-28,10-18,2012
27-MN,FORAGE SORGHUM,07-28,10-24,2012
27-MN,FORAGE SORGHUM,07-29,10-10,2012
27-MN,FORAGE SORGHUM,07-29,10-12,2021
27-MN,FORAGE SORGHUM,07-29,10-13,2012
27-MN,FORAGE SORGHUM,07-29,10-18,2020
27-MN,FORAGE SORGHUM,07-29,10-19,2012
27-MN,FORAGE SORGHUM,07-29,10-20,2012
27-MN,FORAGE SORGHUM,07-29,10-23,2012
27-MN,FORAGE SORGHUM,07-29,10-24,2012
27-MN,FORAGE SORGHUM,07-30,10-10,2012
27-MN,FORAGE SORGHUM,07-30,10-13,2012
27-MN,FORAGE SORGHUM,07-30,10-15,2012
27-MN,FORAGE SORGHUM,07-30,10-16,2021
27-MN,FORAGE SORGHUM,07-30,10-17,2012
27-MN,FORAGE SORGHUM,07-30,10-19,2021
27-MN,FORAGE SORGHUM,07-30,10-21,2012
27-MN,FORAGE SORGHUM,07-30,10-24,2012
27-MN,FORAGE SORGHUM,07-30,10-26,"2012, 2021"
27-MN,FORAGE SORGHUM,07-31,10-09,2021
27-MN,FORAGE SORGHUM,07-31,10-12,2021
27-MN,FORAGE SORGHUM,07-31,10-15,"2012, 2021"
27-MN,FORAGE SORGHUM,07-31,10-18,2021
27-MN,FORAGE SORGHUM,07-31,10-21,2021
27-MN,FORAGE SORGHUM,07-31,10-22,2021
27-MN,FORAGE SORGHUM,07-31,10-23,2012
27-MN,FORAGE SORGHUM,07-31,10-24,2012
27-MN,FORAGE SORGHUM,07-31,10-25,2012
27-MN,FORAGE SORGHUM,07-31,10-26,2021
27-MN,FORAGE SORGHUM,08-02,10-13,2012
27-MN,FORAGE SORGHUM,08-02,10-17,2021
27-MN,FORAGE SORGHUM,08-02,10-20,2021
27-MN,FORAGE SORGHUM,08-02,10-23,2021
27-MN,FORAGE SORGHUM,08-02,10-24,2012
27-MN,FORAGE SORGHUM,08-02,10-26,2021
27-MN,FORAGE SORGHUM,08-02,10-27,2021
27-MN,FORAGE SORGHUM,08-02,11-02,2012
27-MN,FORAGE SORGHUM,08-03,10-05,2012
27-MN,FORAGE SORGHUM,08-03,10-09,2021
27-MN,FORAGE SORGHUM,08-03,10-11,2021
27-MN,FORAGE SORGHUM,08-03,10-15,2012
27-MN,FORAGE SORGHUM,08-03,10-18,2021
27-MN,FORAGE SORGHUM,08-03,10-27,2021
27-MN,FORAGE SORGHUM,08-03,11-02,2021
27-MN,FORAGE SORGHUM,08-04,10-08,2021
27-MN,FORAGE SORGHUM,08-04,10-15,2021
27-MN,FORAGE SORGHUM,08-05,10-07,2021
27-MN,FORAGE SORGHUM,08-05,10-17,2021
27-MN,FORAGE SORGHUM,08-05,10-20,2021
27-MN,FORAGE SORGHUM,08-07,10-30,2021
27-MN,FORAGE SORGHUM,08-08,10-24,2021
27-MN,FORAGE SORGHUM,08-09,11-01,2021
27-MN,FORAGE SORGHUM,08-11,10-19,2021
27-MN,FULL SEASON IMPROVED,05-02,10-17,2021
27-MN,FULL SEASON IMPROVED,05-03,10-17,"2021, 2022"
27-MN,FULL SEASON IMPROVED,05-04,10-17,2021
27-MN,FULL SEASON IMPROVED,05-05,10-17,2021
27-MN,FULL SEASON IMPROVED,05-07,10-17,2021
27-MN,FULL SEASON IMPROVED,05-08,10-17,2021
27-MN,FULL SEASON IMPROVED,05-08,10-27,2021
27-MN,FULL SEASON IMPROVED,05-09,09-17,2021
27-MN,FULL SEASON IMPROVED,05-09,10-17,"2020, 2021"
27-MN,FULL SEASON IMPROVED,05-10,10-17,2021
27-MN,FULL SEASON IMPROVED,05-11,10-17,2021
27-MN,FULL SEASON IMPROVED,05-12,10-16,2021
27-MN,FULL SEASON IMPROVED,05-13,10-17,2021
27-MN,FULL SEASON IMPROVED,05-14,10-12,2021
27-MN,FULL SEASON IMPROVED,05-14,10-15,2021
27-MN,FULL SEASON IMPROVED,05-14,10-17,2021
27-MN,FULL SEASON IMPROVED,05-16,10-15,2021
27-MN,FULL SEASON IMPROVED,05-17,10-17,2021
27-MN,FULL SEASON IMPROVED,05-18,10-15,2021
27-MN,FULL SEASON IMPROVED,05-19,10-12,2021
27-MN,FULL SEASON IMPROVED,05-19,10-17,2021
27-MN,FULL SEASON IMPROVED,05-20,10-12,2021
27-MN,FULL SEASON IMPROVED,05-21,10-09,2021
27-MN,FULL SEASON IMPROVED,05-21,10-12,2021
27-MN,FULL SEASON IMPROVED,05-21,10-17,2021
27-MN,FULL SEASON IMPROVED,05-23,10-17,2021
27-MN,FULL SEASON IMPROVED,05-24,10-02,2021
27-MN,FULL SEASON IMPROVED,05-24,10-15,2021
27-MN,FULL SEASON IMPROVED,05-24,10-17,2021
27-MN,FULL SEASON IMPROVED,05-25,10-11,2021
27-MN,FULL SEASON IMPROVED,05-27,10-09,2021
27-MN,FULL SEASON IMPROVED,05-31,10-08,2021
27-MN,FULL SEASON IMPROVED,06-02,10-17,2021
27-MN,FULL SEASON IMPROVED,06-03,10-02,2021
27-MN,IMPROVED PASTURE,04-30,10-24,2012
27-MN,IMPROVED PASTURE,05-02,10-24,2012
27-MN,IMPROVED PASTURE,05-02,11-02,2012
27-MN,IMPROVED PASTURE,05-03,10-23,2012
27-MN,IMPROVED PASTURE,05-03,10-26,2012
27-MN,IMPROVED PASTURE,05-05,10-24,2012
27-MN,IMPROVED PASTURE,05-06,10-15,2012
27-MN,IMPROVED PASTURE,05-06,10-24,2012
27-MN,IMPROVED PASTURE,05-06,10-25,2012
27-MN,IMPROVED PASTURE,05-06,10-26,2012
27-MN,IMPROVED PASTURE,05-07,10-16,2012
27-MN,IMPROVED PASTURE,05-07,10-18,2012
27-MN,IMPROVED PASTURE,05-07,10-19,2012
27-MN,IMPROVED PASTURE,05-07,10-20,2012
27-MN,IMPROVED PASTURE,05-07,10-23,2012
27-MN,IMPROVED PASTURE,05-07,10-25,2012
27-MN,IMPROVED PASTURE,05-08,10-17,2012
27-MN,IMPROVED PASTURE,05-08,10-21,2012
27-MN,IMPROVED PASTURE,05-10,10-24,2012
27-MN,IMPROVED PASTURE,05-12,10-10,2012
27-MN,IMPROVED PASTURE,05-12,10-17,2012
27-MN,IMPROVED PASTURE,05-13,10-15,2012
27-MN,IMPROVED PASTURE,05-14,10-13,2012
27-MN,IMPROVED PASTURE,05-16,10-13,2012
27-MN,IMPROVED PASTURE,05-17,10-10,2012
27-MN,IMPROVED PASTURE,05-17,10-16,2012
27-MN,IMPROVED PASTURE,05-18,10-10,2012
27-MN,IMPROVED PASTURE,05-19,10-10,2012
27-MN,IMPROVED PASTURE,05-22,10-13,2012
27-MN,IMPROVED PASTURE,05-22,10-15,2012
27-MN,IMPROVED PASTURE,05-25,10-07,2012
27-MN,NATIVE PASTURE,04-30,10-24,2012
27-MN,NATIVE PASTURE,05-02,10-17,2021
27-MN,NATIVE PASTURE,05-02,10-24,2012
27-MN,NATIVE PASTURE,05-02,11-02,2012
27-MN,NATIVE PASTURE,05-03,10-17,"2021, 2022"
27-MN,NATIVE PASTURE,05-03,10-23,2012
27-MN,NATIVE PASTURE,05-03,10-26,2012
27-MN,NATIVE PASTURE,05-04,10-17,2021
27-MN,NATIVE PASTURE,05-05,10-17,2021
27-MN,NATIVE PASTURE,05-05,10-24,2012
27-MN,NATIVE PASTURE,05-06,10-15,2012
27-MN,NATIVE PASTURE,05-06,10-24,2012
27-MN,NATIVE PASTURE,05-06,10-25,2012
27-MN,NATIVE PASTURE,05-06,10-26,2012
27-MN,NATIVE PASTURE,05-07,10-16,2012
27-MN,NATIVE PASTURE,05-07,10-17,2021
27-MN,NATIVE PASTURE,05-07,10-18,2012
27-MN,NATIVE PASTURE,05-07,10-19,2012
27-MN,NATIVE PASTURE,05-07,10-20,2012
27-MN,NATIVE PASTURE,05-07,10-23,2012
27-MN,NATIVE PASTURE,05-07,10-25,2012
27-MN,NATIVE PASTURE,05-08,10-17,"2012, 2021"
27-MN,NATIVE PASTURE,05-08,10-21,2012
27-MN,NATIVE PASTURE,05-08,10-27,2021
27-MN,NATIVE PASTURE,05-09,10-17,2021
27-MN,NATIVE PASTURE,05-10,10-17,2021
27-MN,NATIVE PASTURE,05-10,10-24,2012
27-MN,NATIVE PASTURE,05-11,10-23,2021
27-MN,NATIVE PASTURE,05-12,10-10,2012
27-MN,NATIVE PASTURE,05-12,10-16,2021
27-MN,NATIVE PASTURE,05-12,10-17,2012
27-MN,NATIVE PASTURE,05-13,10-15,2012
27-MN,NATIVE PASTURE,05-13,10-17,2021
27-MN,NATIVE PASTURE,05-14,10-12,2021
27-MN,NATIVE PASTURE,05-14,10-13,2012
27-MN,NATIVE PASTURE,05-14,10-15,2021
27-MN,NATIVE PASTURE,05-14,10-17,2021
27-MN,NATIVE PASTURE,05-16,10-13,2012
27-MN,NATIVE PASTURE,05-16,10-15,2021
27-MN,NATIVE PASTURE,05-17,10-10,2012
27-MN,NATIVE PASTURE,05-17,10-16,2012
27-MN,NATIVE PASTURE,05-17,10-17,2021
27-MN,NATIVE PASTURE,05-18,10-10,2012
27-MN,NATIVE PASTURE,05-18,10-15,2021
27-MN,NATIVE PASTURE,05-19,10-10,2012
27-MN,NATIVE PASTURE,05-19,10-12,2021
27-MN,NATIVE PASTURE,05-19,10-17,2021
27-MN,NATIVE PASTURE,05-20,10-12,2021
27-MN,NATIVE PASTURE,05-21,10-09,2021
27-MN,NATIVE PASTURE,05-21,10-12,2021
27-MN,NATIVE PASTURE,05-21,10-17,2021
27-MN,NATIVE PASTURE,05-22,10-13,2012
27-MN,NATIVE PASTURE,05-22,10-15,2012
27-MN,NATIVE PASTURE,05-23,10-17,2021
27-MN,NATIVE PASTURE,05-24,10-02,2021
27-MN,NATIVE PASTURE,05-24,10-15,2021
27-MN,NATIVE PASTURE,05-24,10-17,2021
27-MN,NATIVE PASTURE,05-25,10-07,2012
27-MN,NATIVE PASTURE,05-25,10-11,2021
